Country,Correlation,Family,N,base_loglik,x_loglik,delta,LR,LR_p,AIC,BIC,LB_sq5_p,ARCH_LM5_p,converged,profile_grid_best_delta,BH_FDR_q
Nigeria,0.322,GJR/TGARCH,130,-355.1774193956299,-355.1774193956299,0.0,0.0,1.0,726.3548387912598,749.2951143949044,0.998020732237651,0.9983474541968067,True,1.0,1.0
Tunisia,0.296,GARCH,128,-219.72448324417093,-219.6687053605305,-0.030840720617190984,0.1115557672808336,0.738379821557059,453.337410721061,473.3016225684983,0.8408933819050213,0.8559370397550864,True,0.0,1.0
Tunisia,0.296,EGARCH,128,-219.4970500723632,-219.09447758992545,-0.041929682138461634,0.8051449648755238,0.36955954766233245,454.1889551798509,477.0051972912078,0.7649531147025077,0.7933651491842469,True,0.0,1.0
Tunisia,0.296,GJR/TGARCH,128,-222.4012332941344,-222.40123329413439,0.0,5.684341886080802e-14,0.9999998097694968,460.80246658826877,483.6187086996257,0.801665568674306,0.8364772088834593,True,0.0,1.0
Morocco,0.285,GARCH,130,-209.6530645354944,-209.65306453549442,0.0,0.0,1.0,433.30612907098885,453.37887022417794,0.7864842922889405,0.7319547908759265,True,0.15,1.0
Morocco,0.285,EGARCH,130,-210.06031631406228,-210.06031631406228,0.0,0.0,1.0,436.12063262812455,459.0609082317692,0.3006292018891166,0.16728653541549812,True,0.15,1.0
Morocco,0.285,GJR/TGARCH,130,-212.16424162051317,-212.16424162051317,0.0,0.0,1.0,440.32848324102633,463.26875884467097,0.17954037881655127,0.060582058848515974,True,0.3,1.0
Liberia,0.279,GARCH,126,-243.02175301758265,-243.02175301758263,0.0,5.684341886080802e-14,0.9999998097694968,500.04350603516525,519.8974793838256,0.88582045640285,0.8992786257371679,True,0.5,1.0
Liberia,0.279,EGARCH,126,-225.65477747975547,-225.33849081621702,-0.06760514740218139,0.6325733270768978,0.42641296887430225,466.67698163243404,489.36723688804585,0.94260277571788,0.9298152792399383,True,0.0,1.0
Liberia,0.279,GJR/TGARCH,126,-243.1801382944481,-243.18013829444817,0.0,0.0,1.0,502.36027658889634,525.0505318445082,0.868395014100184,0.8742723677704731,True,0.0,1.0
Namibia,0.268,GARCH,130,-337.0445894411687,-336.0756051708012,0.21352214725681634,1.9379685407349143,0.16388927663011277,686.1512103416025,706.2239514947915,0.9825471734091028,0.9858298864865455,True,0.15,1.0
Namibia,0.268,EGARCH,130,-334.8344913968772,-334.8344913968772,0.0,0.0,1.0,685.6689827937544,708.609258397399,0.45417700479590806,0.5678384794298023,True,0.0,1.0
Namibia,0.268,GJR/TGARCH,130,-336.8703887721076,-336.8703887721076,0.0,0.0,1.0,689.7407775442152,712.6810531478599,0.5427534611025978,0.6396164195312051,True,0.0,1.0
Congo DRC,0.266,GARCH,125,-135.70061498147317,-135.70061498147317,0.0,0.0,1.0,285.40122996294633,305.1994261240624,0.9672112567139638,0.9745070630273417,True,0.75,1.0
Congo DRC,0.266,EGARCH,125,-103.76860256528994,-103.76860256528995,0.0,0.0,1.0,223.5372051305799,246.16371502899833,0.982539746114822,0.9794737242467109,True,-0.3,1.0
Congo DRC,0.266,GJR/TGARCH,125,-206.71952926175635,-206.71952926175635,0.0,0.0,1.0,429.4390585235127,452.0655684219311,0.9560010089499666,0.956630987677229,True,0.0,1.0
Guinea,0.263,GARCH,75,-64.26237323451042,-64.26237323451042,0.0,0.0,1.0,142.52474646902084,158.747163263775,0.47079988155259667,0.422343080750057,True,0.0,1.0
Guinea,0.263,EGARCH,75,-54.4122033515933,-54.25505562707173,0.15403358651233542,0.31429544904314355,0.575056210167443,124.51011125414345,143.05001616243393,0.8557240372405701,0.7366509660036706,True,0.15,1.0
Guinea,0.263,GJR/TGARCH,75,-63.87314446559805,-63.87314446559804,0.0,2.842170943040401e-14,0.9999998654867212,143.7462889311961,162.28619383948654,0.4838221288340363,0.41685849768174665,True,0.3,1.0
Benin,0.247,GARCH,130,-244.3614989588477,-244.08005570694533,0.14896635830319224,0.5628865038047479,0.4530995587090253,502.16011141389066,522.2328525670797,0.24001869398588088,0.2720376744798068,True,0.15,1.0
Benin,0.247,EGARCH,130,-243.14919378737747,-243.14919378737747,0.0,0.0,1.0,502.29838757475494,525.2386631783996,0.3819465047694469,0.33674754512389665,True,0.0,1.0
Benin,0.247,GJR/TGARCH,130,-244.87236878172004,-244.87236878172007,0.0,0.0,1.0,505.74473756344014,528.6850131670848,0.1269100264525662,0.15545468830447864,True,0.0,1.0
