Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mauritania,20383.2710124369,20836.4144142678,22539.5274699911,23550.2992081808,25064.3467288386,26408.2573359596,27635.445239703,31612.6612532146,35014.6504562196,38147.3187930185,40619.5702541549
Mauritius,25764.9299305067,27014.3728731492,28581.0439710412,29194.6351989102,30417.9721596536,26999.2986529562,28793.3616927369,33522.3165259588,36503.5389513073,39252.2321607572,41493.499020415
Morocco,268907.460896177,272877.45629794,291813.531443919,283691.175471346,295693.593669821,286108.834107837,323485.096796555,352773.543072263,379199.588799006,403354.913383834,431317.713460459
Mozambique,32719.9950626033,34582.381512996,36130.4226756363,38466.7223793102,41503.330042699,43454.8617189801,46205.7397507032,51652.1299433299,56499.3584259915,59146.0361678934,62086.7718935408
Namibia,24364.4203273712,24604.2488637567,24787.6100249351,25396.2976736135,25469.883407364,25525.1971082626,27287.889913638,30806.6934351457,33365.8744404705,35463.3320621824,37632.0453957303
Niger,22698.5168466788,24229.6810137545,25897.1296081505,28248.7398439953,32634.7180684399,35500.0659779106,38850.2784147516,46549.5571268096,49418.3080268656,55861.5890520511,61024.896690992
Nigeria,1382697.45474361,1373267.33944354,1409126.221564,1466986.66758032,1581908.57139419,1586733.52342695,1658304.86619909,1852963.59926862,1985450.00242002,2117405.22644077,2254167.26278983
Rwanda,21217.422664687,22697.5552059018,24012.2260757295,26542.7406420661,29846.6106693878,29853.2587166006,36473.2012969958,42252.0977058033,47432.5825236787,52932.053758012,58073.8732843767
Sao Tome and Principe,632.060455703195,671.09802490047,711.213103655575,828.353863017382,993.443202520117,1118.60210042706,1272.43460940419,1365.23457727765,1421.01882796792,1472.45755992535,1552.00874443255
Senegal,42638.9263807755,45780.0034831577,50051.7519492583,53794.4402192466,59655.2776690974,62926.3868227369,72000.623166954,80205.1114821688,86749.1551910694,94595.115087514,102665.850212727
Seychelles,2385.80975949533,2700.35098952914,2939.92544024192,3105.24330595579,3340.66194288602,3057.8618659529,2975.76626541107,3592.56923867128,3809.66387728643,4019.33307486995,4277.79642729824
Sierra Leone,16716.8420043,17664.6715463585,18689.6480139159,19947.6397925381,20907.7548926924,21515.7451691697,23059.141091147,26011.6083058415,28514.2704570519,30515.3097174631,32629.1471020846
Somalia,23216.9229693103,23138.7922315267,25790.7794574202,23974.9622290084,24817.4442870638,24215.2795549725,24049.8570021927,26462.8974928867,28599.0950967239,30510.7527451692,32190.3834586446
South Africa,756714.801882334,768981.751234223,791817.301181837,782328.966326972,796182.703053814,767391.105773835,841475.691349659,919875.567608431,961600.690409258,990743.675390841,1026499.94425021
South Sudan,4332.11064039702,3791.68359615463,3635.98260926681,6613.36912101494,7796.90719016635,8622.03133116217,14500.0600565829,14725.9819742682,15725.9119947056,11903.3294405382,15160.0918636614
Sudan,171286.205171276,181040.721419644,185697.996030274,192299.468890579,183587.407307355,197527.676529288,171099.160030009,178686.729685722,146839.916261783,115327.634091568,121942.023553531
Tanzania,115456.658587008,124557.636758805,135317.719546311,146044.124865966,164884.902339252,186620.077499937,204686.31489875,229472.515138095,250217.490460437,270439.016232473,293630.539817747
Togo,14156.5971479336,15110.5838987871,15997.6627386372,17071.4427532909,18743.1495525963,20402.1724224047,22858.8601443732,25907.3934586255,28370.4702978555,30615.7432714589,32991.0813168632
Tunisia,123787.165196227,126359.793587193,131519.936056922,139320.201163207,148376.599031449,142709.962589416,149106.057094252,163981.693837408,170375.054715343,177464.060141834,186259.309494254
Uganda,82913.0931131662,83841.1087835267,91141.6572047513,101249.095847558,111337.180893776,113754.261196089,127626.335783646,145159.650800018,157915.315319541,172017.212253669,187488.823024921
Zambia,53593.517533198,56146.1161614058,59154.4105574934,61869.9325836786,62232.5885492915,60176.2296103324,68672.1197704722,77389.5519385347,84560.925869368,90163.9886764409,97755.6780691186
Zimbabwe,58188.3585111856,59184.202929726,63378.5623245717,62042.803761361,75852.8203484467,81074.3036658587,96801.8411277346,110052.393802262,120214.87907551,125345.868291949,136150.655903793
