Country,Family,delta,loglik
Congo DRC,GJR/TGARCH,-0.3,-158.24443784028523
Congo DRC,GJR/TGARCH,-0.15,-154.15280219709172
Congo DRC,GJR/TGARCH,0.0,-134.7340810386828
Congo DRC,GJR/TGARCH,0.15,-137.5146204036875
Congo DRC,GJR/TGARCH,0.3,-142.70318993785648
Congo DRC,GJR/TGARCH,0.5,-153.54806018639118
Congo DRC,GJR/TGARCH,0.75,-173.90145448412338
Congo DRC,GJR/TGARCH,1.0,-201.9068967462433
Guinea,GARCH,-1.0,-65.7381716411068
Guinea,GARCH,-0.75,-63.23124173767985
Guinea,GARCH,-0.5,-61.45087700999652
Guinea,GARCH,-0.3,-60.52422978158348
Guinea,GARCH,-0.15,-60.11189786343606
Guinea,GARCH,0.0,-59.938893010549094
Guinea,GARCH,0.15,-60.00371545323128
Guinea,GARCH,0.3,-60.305331548097456
Guinea,GARCH,0.5,-61.074304017166604
Guinea,GARCH,0.75,-62.622766920592454
Guinea,GARCH,1.0,-64.82303159811823
Guinea,EGARCH,-1.0,-64.98379717562901
Guinea,EGARCH,-0.75,-60.67080147582415
Guinea,EGARCH,-0.5,-57.472279578888504
Guinea,EGARCH,-0.3,-55.740177118416646
Guinea,EGARCH,-0.15,-54.89460892330058
Guinea,EGARCH,0.0,-54.4122033515933
Guinea,EGARCH,0.15,-54.255165689249836
Guinea,EGARCH,0.3,-54.39471422148907
Guinea,EGARCH,0.5,-55.00506343404899
Guinea,EGARCH,0.75,-56.347963206374835
Guinea,EGARCH,1.0,-58.21674255966413
Guinea,GJR/TGARCH,-1.0,-95.85711913645252
Guinea,GJR/TGARCH,-0.75,-82.91078657404852
Guinea,GJR/TGARCH,-0.5,-67.06942962398816
Guinea,GJR/TGARCH,-0.3,-65.27426884231545
Guinea,GJR/TGARCH,-0.15,-64.5127018716635
Guinea,GJR/TGARCH,0.0,-63.861329885037584
Guinea,GJR/TGARCH,0.15,-62.74047230661205
Guinea,GJR/TGARCH,0.3,-62.37177533197874
Guinea,GJR/TGARCH,0.5,-62.95703129886941
Guinea,GJR/TGARCH,0.75,-65.52027263375278
Guinea,GJR/TGARCH,1.0,-70.05729196647248
Benin,GARCH,-1.0,-266.64172692295017
Benin,GARCH,-0.75,-259.4325911097783
Benin,GARCH,-0.5,-252.8534347962301
Benin,GARCH,-0.3,-248.4672658449899
Benin,GARCH,-0.15,-246.01973137245082
Benin,GARCH,0.0,-244.3614989588178
Benin,GARCH,0.15,-244.08007679538974
Benin,GARCH,0.3,-244.50745844591762
Benin,GARCH,0.5,-246.24016683873063
Benin,GARCH,0.75,-249.89232979505636
Benin,GARCH,1.0,-254.79035399810846
Benin,EGARCH,-0.3,-245.6337449395602
Benin,EGARCH,-0.15,-243.1278112056002
Benin,EGARCH,0.0,-242.01686513877317
Benin,EGARCH,0.15,-242.4571454957922
Benin,EGARCH,0.3,-244.3530071951028
Benin,EGARCH,0.5,-249.29393250199388
Benin,EGARCH,0.75,-260.24442339984626
Benin,EGARCH,1.0,-278.40162101682404
Benin,GJR/TGARCH,-1.0,-568.4918404498051
Benin,GJR/TGARCH,-0.75,-273.77016010818
Benin,GJR/TGARCH,-0.5,-263.27064168144136
Benin,GJR/TGARCH,-0.3,-257.72494065703086
Benin,GJR/TGARCH,-0.15,-254.10789793413318
Benin,GJR/TGARCH,0.0,-244.87236878172007
Benin,GJR/TGARCH,0.15,-251.02015257087731
Benin,GJR/TGARCH,0.3,-274.98627666856675
Benin,GJR/TGARCH,0.5,-328.2731126540098
Benin,GJR/TGARCH,0.75,-420.53766462587583
Benin,GJR/TGARCH,1.0,-523.0849484476886
