Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Mauritania,mauritania,2021-07-01,2021-10-01,6.4064597501821945,5.204669222006872,5.287197389350226,3,zgre,1.201790528175322,1.1192623608319687,0.19836313964181995
Mauritius,mauritius,2021-07-01,2021-10-01,12.7896623432593,4.019753382262252,3.489579871016964,3,zgre,8.769908960997048,9.300082472242336,-9.299146854306642
Morocco,morocco,2021-07-01,2021-10-01,14.715608136607674,2.252750923380516,0.6158751407208021,3,zgre,12.462857213227158,14.099732995886871,-40.800298310154915
Mozambique,mozambique,2021-07-01,2021-10-01,7.562865109372375,5.623662378802642,6.146279973428248,3,zgre,1.9392027305697326,1.4165851359441266,2.0269229330835214
Namibia,namibia,2021-07-01,2021-10-01,9.04084409303384,1.10250268859307,1.189317794090907,3,zgre,7.93834140444077,7.851526298942933,1.3783358930087388
Niger,niger,2021-07-01,2021-10-01,12.079155830774562,8.52916033075108,9.068140799116568,3,zgre,3.5499955000234813,3.011015031657994,3.8267564745960563
Nigeria,nigeria,2021-07-01,2021-10-01,7.032560653024407,3.208252124403796,3.5380217299516743,3,zgre,3.824308528620611,3.494538923072733,2.5222814299532104
Rwanda,rwanda,2021-07-01,2021-10-01,22.779774408584583,8.23746412381596,8.427133293391162,3,zgre,14.542310284768623,14.352641115193421,5.516455830833991
Sao Tome and Principe,saotomeandprincipe,2021-07-01,2021-10-01,12.281659511997486,10.757364482565375,11.291789093425852,3,zgre,1.5242950294321105,0.989870418571634,1.6292415558816282
Senegal,senegal,2021-07-01,2021-10-01,14.672920493844256,8.158057883288933,7.966217253127843,3,zgre,6.514862610555323,6.706703240716413,-2.499630697243724
Seychelles,seychelles,2021-07-01,2021-10-01,4.3213105389062845,8.060509635074425,7.83797667457267,3,zgre,-3.7391990961681403,-3.5166661356663855,1.6641900895515622
Sierra Leone,sierraleone,2021-07-01,2021-10-01,8.804964181262589,5.55318505198659,5.9073542421486644,3,zgre,3.2517791292759988,2.8976099391139245,2.303359961603231
Somalia,somalia,2021-07-01,2021-10-01,2.1824493496914994,1.7164588466877895,1.8586047034561743,3,zgre,0.4659905030037099,0.32384464623532505,0.13247723859078595
South Africa,southafrica,2021-07-01,2021-10-01,11.91761021234108,1.1340555104402998,1.5082654121384749,3,zgre,10.78355470190078,10.409344800202605,8.070625889910346
South Sudan,southsudan,2021-07-01,2021-10-01,44.921477625835855,16.53182941551844,14.722649365237316,3,zgre,28.389648210317414,30.19882826059854,-102.72397035321092
Sudan,sudan,2021-07-01,2021-10-01,-14.843072400851284,1.797600550180512,2.325602021415579,3,zgre,-16.640672951031796,-17.168674422266864,-17.572599600972808
