Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Angola,angola,2024-11-01,2024-12-01,6.583480728291664,5.163580694255031,7.0479014646511216,1,zgre,1.4199000340366332,-0.46442073635945746,5.351094252042688
Benin,benin,2024-11-01,2024-12-01,10.406383759368165,7.071674804041656,7.350737137267519,1,zgre,3.3347089553265086,3.055646622100646,1.8611833234051876
Botswana,botswana,2024-11-01,2024-12-01,-0.5720374554560947,6.163772212760739,5.00065802696349,1,zgre,-6.735809668216834,-5.572695482419585,15.669031555866521
Burkina-Faso,burkinafaso,2024-11-01,2024-12-01,7.518745238804144,7.445922748275619,8.141821335938813,1,zgre,0.07282249052852485,-0.6230760971346694,0.10135413661783357
Burundi,burundi,2024-11-01,2024-12-01,6.90175788376266,4.669946583865035,2.6869508957522745,1,zgre,2.2318112998976254,4.214806988010386,-8.851344368756651
Cameroon,cameroon,2024-11-01,2024-12-01,6.48693672003946,7.8900250721679726,8.751654952663426,1,zgre,-1.4030883521285125,-2.2647182326239657,-2.4178856983381047
Cape Verde,capeverde,2024-11-01,2024-12-01,9.831468813836254,3.629285286323432,3.501401003615425,1,zgre,6.2021835275128225,6.33006781022083,-1.5863235832787907
Central African Republic,centralafricanrepublic,2024-11-01,2024-12-01,5.530383890625913,7.464218232729406,7.61888995415784,1,zgre,-1.9338343421034931,-2.088506063531927,-0.5982189733011407
Chad,chad,2024-11-01,2024-12-01,5.969383990414737,5.1622458093744665,5.746438860359862,1,zgre,0.8071381810402709,0.22294513005487548,0.9430490330974366
Comoros,comoros,2024-11-01,2024-12-01,6.440158261608096,3.776160362537458,4.654918231965654,1,zgre,2.6639978990706386,1.7852400296424422,4.6820182358970115
Congo,congo,2024-11-01,2024-12-01,4.984317382973367,5.045800159344837,6.033221982397829,1,zgre,-0.06148277637147004,-1.0489045994244623,-0.12141887026215281
Congo DRC,congodrc,2024-11-01,2024-12-01,8.594979314484448,8.316046486131954,8.784259919270188,1,zgre,0.27893282835249344,-0.18928060478573983,0.261200194355757
Djibouti,djibouti,2024-11-01,2024-12-01,9.07196091353204,7.50293598858416,7.55664529007054,1,zgre,1.5690249249478798,1.5153156234615004,0.16854246546733886
Egypt,egypt,2024-11-01,2024-12-01,6.122589366982573,9.012226580469093,9.543466849362494,1,zgre,-2.8896372134865205,-3.420877482379921,-3.0701833005939108
Equatorial Guinea,equatorialguinea,2024-11-01,2024-12-01,3.3109183089859453,0.8677935546337583,0.827930630354655,1,zgre,2.443124754352187,2.4829876786312903,-0.19478019417428794
Eritrea,eritrea,2024-11-01,2024-12-01,5.211508189650383,4.647350221932743,4.925086763449201,1,zgre,0.56415796771764,0.2864214262011817,0.31337456564570215
